start,end,duration (mins)
Astor Pl,145th St,56.059999999999995
Astor Pl,157th St,61.65333333333333
Astor Pl,103rd St,41.15833333333333
Astor Pl,Central Park North (110th St),44.388333333333335
Astor Pl,81st St,36.75666666666667
Astor Pl,75th Ave,71.74499999999999
Astor Pl,116th St - Columbia University,47.51166666666666
Astor Pl,125th St,50.65833333333333
Astor Pl,135th St,52.75333333333333
Astor Pl,116th St,44.68333333333333
Astor Pl,Tremont Ave,74.58166666666666
Astor Pl,137th St - City College,56.22833333333333
Astor Pl,176th St,73.27166666666668
Astor Pl,Burnside Ave,76.62833333333333
Astor Pl,170th St,68.53166666666667
Astor Pl,181st St,70.69833333333332
Astor Pl,191st St,73.155
Astor Pl,175th St,68.53666666666666
Astor Pl,Beach 44th St,102.76833333333335
Astor Pl,Beach 60th St,98.485
Astor Pl,Beach 98th St,83.30333333333333
Astor Pl,Rockaway Park - Beach 116 St,81.45166666666667
Astor Pl,Beach 36th St,106.93333333333334
Astor Pl,Beach 25th St,109.50333333333333
Astor Pl,Parsons Blvd,87.08833333333334
Astor Pl,169th St,90.72666666666667
Astor Pl,103rd St - Corona Plaza,67.675
Astor Pl,63rd Dr - Rego Park,60.598333333333336
Astor Pl,Grant Ave,66.81666666666666
Astor Pl,79th St,58.63666666666666
Astor Pl,Atlantic Ave,61.093333333333334
Astor Pl,Christopher St - Sheridan Sq,5.373333333333333
Astor Pl,Ozone Park - Lefferts Blvd,81.775
Astor Pl,W 8th St - NY Aquarium,86.9
Astor Pl,Pelham Bay Park,85.25333333333333
Astor Pl,Westchester Sq - E Tremont Ave,76.355
Astor Pl,18th St,8.645000000000001
Astor Pl,Beach 67th St,97.72833333333332
Astor Pl,W 4th St - Washington Sq (Upper),6.4366666666666665
Astor Pl,85th St - Forest Pky,63.28
Astor Pl,Woodhaven Blvd,66.40166666666667
Astor Pl,121st St,76.91499999999999
Astor Pl,Myrtle - Wyckoff Aves,41.665
Astor Pl,New Lots Ave,63.87833333333333
Astor Pl,Cleveland St,61.68833333333334
Astor Pl,Livonia Ave,61.32333333333334
Astor Pl,Junius St,61.68333333333333
Astor Pl,Canarsie - Rockaway Pkwy,66.53333333333333
Astor Pl,E 105th St,70.08833333333334
Astor Pl,Saratoga Ave,56.88333333333333
Astor Pl,Sutter Ave - Rutland Road,54.01
Astor Pl,Broadway Junction,53.218333333333334
Astor Pl,Alabama Ave,56.82666666666667
Astor Pl,Shepherd Ave,66.075
Astor Pl,Crescent St,60.263333333333335
Astor Pl,Cypress Hills,58.625
