NTAName,Latitude,Longitude
Lower East Side,40.719558,-73.989999
Coney Island-Sea Gate,40.57275,-73.995094
East Elmhurst,40.768054,-73.878327
Bushwick (West),40.704487,-73.918961
Midtown-Times Square,40.75703,-73.982378
Tottenville-Charleston,40.508896,-74.246881
Sunset Park (Central),40.647523,-73.997614
Grasmere-Arrochar-South Beach-Dongan Hills,40.6077,-74.089219
Sunset Park (East)-Borough Park (West),40.645918,-73.994923
East Midtown-Turtle Bay,40.759086,-73.96486
New Dorp-Midland Beach,40.56862,-74.111454
St. George-New Brighton,40.647292,-74.081124
Upper West Side-Lincoln Square,40.773394,-73.981807
Hell's Kitchen,40.761749,-73.993798
Lower East Side,40.713586,-73.981358
Chelsea-Hudson Yards,40.75468,-73.999023
Ozone Park,40.68026,-73.842066
St. Albans,40.691764,-73.762858
Grasmere-Arrochar-South Beach-Dongan Hills,40.59721,-74.068752
East Midtown-Turtle Bay,40.755395,-73.964983
Astoria (Central),40.766737,-73.921327
Grasmere-Arrochar-South Beach-Dongan Hills,40.588965,-74.101749
Borough Park,40.64189,-73.981284
Astoria (North)-Ditmars-Steinway,40.771061,-73.908445
Brownsville,40.67504,-73.904496
St. George-New Brighton,40.64065,-74.095176
Prospect Heights,40.677797,-73.973229
Richmond Hill,40.695115,-73.844826
Chinatown-Two Bridges,40.713376,-73.997392
Upper East Side-Lenox Hill-Roosevelt Island,40.769815,-73.951645
Washington Heights (North),40.850064,-73.935752
Jackson Heights,40.748866,-73.890968
University Heights (North)-Fordham,40.872591,-73.904832
Corona,40.739159,-73.852687
Grasmere-Arrochar-South Beach-Dongan Hills,40.586369,-74.092337
Sunset Park (West),40.645434,-74.013992
East Midtown-Turtle Bay,40.760521,-73.967931
Jackson Heights,40.758653,-73.892381
Upper East Side-Yorkville,40.776997,-73.946434
Mariner's Harbor-Arlington-Graniteville,40.620348,-74.152641
Kingsbridge-Marble Hill,40.874274,-73.909375
Far Rockaway-Bayswater,40.59498,-73.751338
Wakefield-Woodlawn,40.89844,-73.854552
Rosebank-Shore Acres-Park Hill,40.615306,-74.073449
Mapleton-Midwood (West),40.626702,-73.965676
Forest Hills,40.721106,-73.844033
Westerleigh-Castleton Corners,40.612897,-74.124494
Jackson Heights,40.765277,-73.887312
Kensington,40.644999,-73.973952
Grasmere-Arrochar-South Beach-Dongan Hills,40.605338,-74.076078
New Dorp-Midland Beach,40.566858,-74.113582
Bedford-Stuyvesant (East),40.700573,-73.942261
Midtown-Times Square,40.765563,-73.980322
Midtown-Times Square,40.762023,-73.985792
Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,40.608165,-74.126855
Park Slope,40.665909,-73.982287
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,40.688913,-74.000744
Springfield Gardens (South)-Brookville,40.66397,-73.768465
Upper East Side-Yorkville,40.775053,-73.95387
West New Brighton-Silver Lake-Grymes Hill,40.634629,-74.11213
South Ozone Park,40.679819,-73.837991
East Elmhurst,40.756875,-73.874178
Rosedale,40.657503,-73.744956
University Heights (South)-Morris Heights,40.850268,-73.915494
Jamaica,40.704299,-73.792933
West New Brighton-Silver Lake-Grymes Hill,40.634649,-74.108527
Upper East Side-Carnegie Hill,40.784406,-73.952025
New Springville-Willowbrook-Bulls Head-Travis,40.590881,-74.19196
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,40.569271,-73.863805
Far Rockaway-Bayswater,40.595428,-73.754169
Bay Ridge,40.634412,-74.02321
Upper East Side-Lenox Hill-Roosevelt Island,40.762984,-73.959485
St. Albans,40.701992,-73.765629
Kingsbridge-Marble Hill,40.878788,-73.904848
Tompkinsville-Stapleton-Clifton-Fox Hills,40.624338,-74.080149
Arden Heights-Rossville,40.546365,-74.20978
East New York-New Lots,40.666296,-73.882727
Upper East Side-Carnegie Hill,40.76765,-73.963704
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,40.675698,-74.014662
Greenpoint,40.729832,-73.954159
Downtown Brooklyn-DUMBO-Boerum Hill,40.689565,-73.992204
Upper East Side-Lenox Hill-Roosevelt Island,40.770075,-73.960281
Bay Ridge,40.622299,-74.027696
Oakwood-Richmondtown,40.564194,-74.110115
Astoria (East)-Woodside (North),40.75881,-73.918728
Upper East Side-Lenox Hill-Roosevelt Island,40.767166,-73.95344
Norwood,40.873542,-73.879466
Great Kills-Eltingville,40.542586,-74.145566
Upper West Side (Central),40.790024,-73.969719
Borough Park,40.632839,-74.005321
Tottenville-Charleston,40.504238,-74.245304
Bedford-Stuyvesant (West),40.691337,-73.952196
New Springville-Willowbrook-Bulls Head-Travis,40.575645,-74.16715
Jamaica,40.703099,-73.796108
Mariner's Harbor-Arlington-Graniteville,40.616621,-74.156603
Sunset Park (East)-Borough Park (West),40.644356,-73.992613
Old Astoria-Hallets Point,40.772185,-73.926139
Astoria (Central),40.770106,-73.927583
Woodhaven,40.694003,-73.850981
Chinatown-Two Bridges,40.71351,-73.997626
Chinatown-Two Bridges,40.711877,-73.997922
Astoria (North)-Ditmars-Steinway,40.775832,-73.910318
Upper West Side (Central),40.782056,-73.978988
Midtown-Times Square,40.762858,-73.971838
Ozone Park,40.680473,-73.842372
Borough Park,40.624591,-73.991653
Upper East Side-Carnegie Hill,40.768571,-73.967584
West New Brighton-Silver Lake-Grymes Hill,40.630411,-74.089397
Grasmere-Arrochar-South Beach-Dongan Hills,40.598046,-74.075832
Tompkinsville-Stapleton-Clifton-Fox Hills,40.622999,-74.083782
Astoria (Central),40.767567,-73.922921
Astoria (North)-Ditmars-Steinway,40.776485,-73.91105
Sunset Park (Central),40.648374,-73.999232
Tompkinsville-Stapleton-Clifton-Fox Hills,40.624297,-74.079529
Astoria (Central),40.767219,-73.921833
Mariner's Harbor-Arlington-Graniteville,40.621644,-74.16832
West Farms,40.84152,-73.876332
Mariner's Harbor-Arlington-Graniteville,40.625433,-74.15241
Midtown South-Flatiron-Union Square,40.747888,-73.982775
Mapleton-Midwood (West),40.616625,-73.978441
Tremont,40.850826,-73.894052
Upper East Side-Carnegie Hill,40.787657,-73.955416
Lower East Side,40.713218,-73.984341
Borough Park,40.632924,-73.990247
Arden Heights-Rossville,40.550223,-74.187657
Upper West Side (Central),40.783599,-73.980392
Chinatown-Two Bridges,40.712684,-73.990419
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,40.690095,-73.994155
East Midtown-Turtle Bay,40.76012,-73.969776
St. Albans,40.691427,-73.762442
Mariner's Harbor-Arlington-Graniteville,40.631687,-74.151795
Old Astoria-Hallets Point,40.772386,-73.926434
Bensonhurst,40.618297,-73.991139
Midtown South-Flatiron-Union Square,40.74986,-73.987669
Tompkinsville-Stapleton-Clifton-Fox Hills,40.633974,-74.085579
Coney Island-Sea Gate,40.57719,-74.003225
Springfield Gardens (South)-Brookville,40.664368,-73.768265
