Location,total people
"40.660664,-73.962372",138.0
"40.660698,-73.979408",241.0
"40.660843,-73.961464",399.0
"40.661907,-73.723259",170.0
"40.66201,-73.892555",5.0
"40.662643,-73.962143",9.0
"40.662983,-73.957275",17.0
"40.663475,-73.951012",6.0
"40.663849,-73.759369",115.0
"40.66396,-73.759315",163.0
"40.664654,-73.862892",350.0
"40.664654,-73.923454",13.0
"40.66568,-73.736229",1.0
"40.666046,-73.735962",137.0
"40.666382,-73.883614",570.0
"40.66713,-73.757118",6.0
"40.667946,-73.931297",26.0
"40.668537,-73.931236",318.0
"40.66925,-73.860939",184.0
"40.669289,-73.95063",8.0
"40.670227,-73.923233",252.0
"40.671356,-73.984596",2.0
"40.671684,-74.10746",27.0
"40.671806,-73.983994",1.0
"40.672314,-74.011307",156.0
"40.673401,-73.764359",12.0
"40.67498,-73.736649",9.0
"40.676746,-73.89994",481.0
"40.678089,-73.903572",188.0
"40.678391,-73.903549",168.0
"40.67942,-73.929001",5.0
"40.67997,-73.949638",5.0
"40.680134,-73.730247",108.0
"40.680183,-73.752724",1.0
"40.680473,-73.955643",296.0
"40.683266,-73.979279",83.0
"40.685581,-73.917793",125.0
"40.69054,-73.727448",204.0
"40.690567,-73.989365",210.0
"40.691208,-73.987373",305.0
"40.691341,-73.990883",140.0
"40.692036,-74.000534",258.0
"40.692478,-73.927902",202.0
"40.692741,-73.745102",454.0
"40.693111,-73.931175",348.0
"40.694504,-73.987122",175.0
"40.69521,-73.969337",5.0
"40.695534,-73.990829",555.0
"40.695999,-73.990944",495.0
"40.696106,-73.990364",454.0
"40.696125,-73.74633",8.0
"40.697289,-73.919861",10.0
"40.697598,-73.746971",3.0
"40.69762,-73.746674",4.0
"40.697849,-73.746849",1.0
"40.6991,-73.774498",33.0
"40.69915,-73.910477",242.0
"40.699505,-73.953484",409.0
"40.699574,-73.941444",240.0
"40.699722,-73.941513",465.0
"40.699909,-73.987572",108.0
"40.700157,-73.832535",146.0
"40.700176,-73.910255",549.0
"40.70042,-73.909996",273.0
"40.70042,-73.910233",196.0
