,NTAName,Location,total people
411,Bedford Park,"40.872033,-73.888206",82.0
160,University Heights (North)-Fordham,"40.872591,-73.904832",153.0
22,Bedford Park,"40.87347,-73.889546",566.0
214,Norwood,"40.873542,-73.879466",6.0
168,Kingsbridge-Marble Hill,"40.874274,-73.909375",137.0
346,Norwood,"40.874875,-73.8794",196.0
386,Kingsbridge-Marble Hill,"40.875752,-73.90825",19.0
492,Kingsbridge Heights-Van Cortlandt Village,"40.878029,-73.902633",398.0
201,Kingsbridge-Marble Hill,"40.878788,-73.904848",399.0
308,Kingsbridge-Marble Hill,"40.87906,-73.904768",126.0
418,Kingsbridge-Marble Hill,"40.879254,-73.9054",70.0
112,Bedford Park,"40.879312,-73.885816",70.0
456,Norwood,"40.879494,-73.8856",139.0
503,Kingsbridge-Marble Hill,"40.884966,-73.900634",65.0
330,Wakefield-Woodlawn,"40.893135,-73.856867",50.0
318,Wakefield-Woodlawn,"40.897026,-73.867163",252.0
170,Wakefield-Woodlawn,"40.89844,-73.854552",76.0
