,NTAName,Location,total people
93,Long Island City-Hunters Point,"40.742622,-73.953917",3.0
5,Chelsea-Hudson Yards,"40.743645,-74.007041",1.0
9,Sunnyside,"40.744165,-73.925245",44.0
268,Woodside,"40.745114,-73.904027",186.0
8,Midtown South-Flatiron-Union Square,"40.74551,-73.984493",1.0
421,Woodside,"40.745562,-73.903548",860.0
76,Midtown South-Flatiron-Union Square,"40.746998,-73.985295",10.0
246,Midtown South-Flatiron-Union Square,"40.747888,-73.982775",555.0
429,Chelsea-Hudson Yards,"40.747927,-74.003847",1.0
73,Jackson Heights,"40.748745,-73.891737",124.0
159,Jackson Heights,"40.748866,-73.890968",79.0
90,Elmhurst,"40.74887,-73.86931",1.0
403,Oakland Gardens-Hollis Hills,"40.748911,-73.756702",8.0
59,Chelsea-Hudson Yards,"40.749222,-74.002905",123.0
23,North Corona,"40.749564,-73.869573",748.0
422,Jackson Heights,"40.749837,-73.884432",65.0
261,Midtown South-Flatiron-Union Square,"40.74986,-73.987669",549.0
490,North Corona,"40.750232,-73.8628",9.0
41,Murray Hill-Kips Bay,"40.751085,-73.974122",135.0
339,North Corona,"40.75342,-73.864397",116.0
477,Midtown-Times Square,"40.75357,-73.98098",159.0
497,East Midtown-Turtle Bay,"40.754142,-73.974132",217.0
143,Chelsea-Hudson Yards,"40.75468,-73.999023",2.0
147,East Midtown-Turtle Bay,"40.755395,-73.964983",220.0
359,East Midtown-Turtle Bay,"40.755505,-73.970922",154.0
292,East Midtown-Turtle Bay,"40.756196,-73.961653",110.0
345,Midtown-Times Square,"40.756311,-73.987399",6.0
189,East Elmhurst,"40.756875,-73.874178",357.0
132,Midtown-Times Square,"40.75703,-73.982378",149.0
489,North Corona,"40.757776,-73.860512",428.0
455,East Midtown-Turtle Bay,"40.758095,-73.962478",348.0
280,Midtown-Times Square,"40.758113,-73.978021",168.0
299,Hell's Kitchen,"40.758584,-73.992665",178.0
165,Jackson Heights,"40.758653,-73.892381",153.0
95,Hell's Kitchen,"40.75867,-73.992979",146.0
212,Astoria (East)-Woodside (North),"40.75881,-73.918728",137.0
47,Jackson Heights,"40.758825,-73.890835",98.0
137,East Midtown-Turtle Bay,"40.759086,-73.96486",4.0
72,Astoria (East)-Woodside (North),"40.759268,-73.918722",166.0
290,Hell's Kitchen,"40.759847,-73.995181",150.0
256,East Midtown-Turtle Bay,"40.76012,-73.969776",409.0
164,East Midtown-Turtle Bay,"40.760521,-73.967931",8.0
360,Midtown-Times Square,"40.760705,-73.98407",332.0
349,East Midtown-Turtle Bay,"40.760727,-73.968725",133.0
123,Jackson Heights,"40.761121,-73.886493",15.0
284,Astoria (East)-Woodside (North),"40.76124,-73.917317",1.0
407,Upper East Side-Lenox Hill-Roosevelt Island,"40.761523,-73.963754",49.0
141,Hell's Kitchen,"40.761749,-73.993798",1.0
423,Astoria (Central),"40.761803,-73.925433",192.0
467,Astoria (Central),"40.761829,-73.925206",17.0
32,East Midtown-Turtle Bay,"40.761984,-73.967743",4.0
181,Midtown-Times Square,"40.762023,-73.985792",558.0
265,East Midtown-Turtle Bay,"40.762106,-73.968336",436.0
399,Upper East Side-Lenox Hill-Roosevelt Island,"40.762558,-73.965738",34.0
231,Midtown-Times Square,"40.762858,-73.971838",108.0
7,East Elmhurst,"40.762859,-73.873427",3.0
113,East Elmhurst,"40.762953,-73.877289",238.0
75,Jackson Heights,"40.762983,-73.888693",48.0
199,Upper East Side-Lenox Hill-Roosevelt Island,"40.762984,-73.959485",138.0
287,East Elmhurst,"40.763149,-73.875137",169.0
408,Upper East Side-Lenox Hill-Roosevelt Island,"40.763333,-73.95624",222.0
331,Upper East Side-Carnegie Hill,"40.763812,-73.967079",10.0
388,Astoria (East)-Woodside (North),"40.763822,-73.915208",3.0
310,Astoria (East)-Woodside (North),"40.76392,-73.914819",209.0
375,Astoria (East)-Woodside (North),"40.763947,-73.915187",170.0
444,Midtown-Times Square,"40.764061,-73.976728",4.0
21,Astoria (Central),"40.764346,-73.930229",35.0
60,Hell's Kitchen,"40.764502,-73.991704",73.0
336,Jackson Heights,"40.764727,-73.88714",4.0
108,Upper East Side-Lenox Hill-Roosevelt Island,"40.764833,-73.958713",53.0
433,Queensbridge-Ravenswood-Dutch Kills,"40.765089,-73.931595",49.0
435,Jackson Heights,"40.765178,-73.889116",1.0
175,Jackson Heights,"40.765277,-73.887312",126.0
353,Old Astoria-Hallets Point,"40.765445,-73.931388",3.0
180,Midtown-Times Square,"40.765563,-73.980322",67.0
52,Upper East Side-Lenox Hill-Roosevelt Island,"40.76583,-73.961084",66.0
105,Astoria (Central),"40.765913,-73.919083",9.0
